0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0
2, 0, 0, 0, 0, 0, 0, 0
3, 0, 0, 0, 0, 0, 0, 0
4, 0, 0, 0, 0, 0, 0, 0
5, 0, 0, 0, 0, 0, 0, 0
6, 0, 0, 0, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 0
8, 0, 0, 0, 0, 0, 0, 0
9, 0, 0, 0, 0, 0, 0, 0
10, 0, 0, 0, 0, 0, 0, 0
11, 0, 0, 0, 0, 0, 0, 0
12, 0, 0, 0, 0, 0, 0, 0
13, 0, 0, 0, 0, 0, 0, 0
14, 0, 0, 0, 0, 0, 0, 0
15, 0, 0, 0, 0, 0, 0, 0
16, 0, 0, 0, 32, 12, 0, 0
17, 0, 30, 12, 12, 0, 0, 0
18, 0, 31, 12, 12, 12, 12, 0
19, 26, 12, 12, 12, 12, 12, 12
20, 26, 12, 12, 12, 12, 12, 12
21, 27, 12, 12, 12, 12, 12, 12
22, 26, 12, 12, 12, 12, 12, 12
23, 25, 12, 12, 12, 12, 12, 12
24, 25, 12, 12, 12, 12, 12, 12
25, 24, 12, 12, 12, 12, 12, 12
26, 24, 12, 12, 12, 12, 12, 12
27, 24, 12, 12, 12, 12, 12, 12
28, 24, 15, 12, 12, 13, 15, 12
29, 26, 12, 12, 12, 0, 0, 0
